"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C1024","132~CloneInstance","C350","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DefaultLogger.java","148","5","160","6","1","2","1","13","1","0"
"C590","34~CloneInstance","C178","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","304","13","313","32","1","2","12","10","1","0"
"C786","92~CloneInstance","C255","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","248","9","258","10","1","4","9","11","1","0"
"C787","93~CloneInstance","C255","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","275","9","285","10","1","4","9","11","1","0"
"C591","35~CloneInstance","C178","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","443","13","452","32","1","2","12","10","1","0"
"C950","107~CloneInstance","C322","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","396","9","412","10","1","6","11","17","1","0"
"C951","108~CloneInstance","C322","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","415","9","431","10","1","6","11","17","1","0"
"C971","116~CloneInstance","C329","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","533","5","547","6","1","4","4","15","1","0"
"C972","117~CloneInstance","C329","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\DirectoryScanner.java","560","5","574","6","1","4","4","15","1","0"
"C533","21~CloneInstance","C156","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\IntrospectionHelper.java","226","11","235","10","1","4","2","10","1","0"
"C534","22~CloneInstance","C156","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\IntrospectionHelper.java","249","11","258","10","1","4","2","10","1","0"
"C535","23~CloneInstance","C156","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\IntrospectionHelper.java","277","11","286","10","1","4","2","10","1","0"
"C1026","135~CloneInstance","C351","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\IntrospectionHelper.java","292","5","301","6","1","2","174","10","1","1"
"C1027","136~CloneInstance","C351","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\IntrospectionHelper.java","306","5","315","6","1","2","18","10","1","0"
"C1025","133~CloneInstance","C350","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\org\apache\tools\ant\XmlLogger.java","256","5","268","6","1","2","3","13","1","0"
"C569","31~CloneInstance","C170","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","106","9","130","10","1","6","29","25","1","0"
"C570","32~CloneInstance","C170","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","134","9","158","10","1","6","29","25","1","0"
"C772","76~CloneInstance","C250","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","106","9","131","72","1","6","30","26","1","0"
"C773","77~CloneInstance","C250","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","139","9","164","83","1","6","30","26","1","0"
"C774","79~CloneInstance","C251","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","106","9","125","10","1","5","28","20","1","0"
"C775","80~CloneInstance","C251","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","134","9","153","10","1","5","28","20","1","0"
"C776","82~CloneInstance","C252","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","106","9","120","10","1","4","27","15","1","0"
"C777","83~CloneInstance","C252","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","134","9","148","10","1","4","27","15","1","0"
"C778","84~CloneInstance","C252","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\testcases\org\apache\tools\ant\IntrospectionHelperTest.java","149","9","163","10","1","4","27","15","1","0"
