"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L152","MailMessage()","com.oreilly.servlet.MailMessage.<init>()V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","143","3","145","4","0","0","0","0","0","0","0","0","13.6096","2.5","49.1287","13.414","7","7","2.72937","19.6515","137.486","80.4012","170.43","99.667","1","0","0","0","1","0.666667","6","6","0.666667","6","3","3","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L157","MailMessage(String host)","com.oreilly.servlet.MailMessage.<init>(Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","154","3","162","4","0","0","0","0","0","0","0","0","99.0586","10.125","2189.23","168.601","46","26","121.624","216.22","107.218","62.7007","121.812","71.2351","1","0","0","1","3","0.4375","7","7","0.4375","7","9","9","7","1","9","9","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0"
"L177","void from(String from)","com.oreilly.servlet.MailMessage.from(Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","170","3","173","4","0","0","0","0","0","0","0","0","42.8086","9.16667","593.313","70.6083","17","14","32.9618","64.725","126.627","74.051","153.687","89.8757","1","0","0","0","1","0.6","6","6","0.6","6","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L186","void to(String to)","com.oreilly.servlet.MailMessage.to(Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","181","3","184","4","0","0","0","0","0","0","0","0","42.8086","9.16667","663.114","76.043","19","14","36.8397","72.3397","126.049","73.7128","152.853","89.3877","1","0","0","0","1","0.6","6","6","0.6","6","4","4","2","1","4","4","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L193","void cc(String cc)","com.oreilly.servlet.MailMessage.cc(Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","192","3","195","4","0","0","0","0","0","0","0","0","42.8086","9.16667","663.114","76.043","19","14","36.8397","72.3397","126.049","73.7128","152.853","89.3877","1","0","0","0","1","0.6","6","6","0.6","6","4","4","2","1","4","4","2","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","void bcc(String bcc)","com.oreilly.servlet.MailMessage.bcc(Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","203","3","206","4","0","0","0","0","0","0","0","0","26","6","219.247","36.3599","11","10","12.1804","36.5412","134.261","78.515","166.224","97.2071","1","0","0","0","1","0.7","7","6","0.7","7","3","4","1","1","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L199","void setSubject(String subj)","com.oreilly.servlet.MailMessage.setSubject(Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","212","3","214","4","0","0","0","0","0","0","0","0","27.6515","4.375","181.62","32.0708","12","11","10.09","41.5132","133.597","78.127","163.2","95.4384","1","0","0","0","0","0.571429","4","4","0.571429","4","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L171","void setHeader(String name, String value)","com.oreilly.servlet.MailMessage.setHeader(Ljava/lang/String;Ljava/lang/String;)V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","220","3","223","4","0","0","0","0","0","0","0","0","27.6515","5.25","254.268","40.1354","14","11","14.126","48.432","132.796","77.6583","163.021","95.3337","1","0","0","4","0","0.625","5","4","0.625","5","3","4","1","2","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L207","PrintStream getPrintStream()","com.oreilly.servlet.MailMessage.getPrintStream()Ljava/io/PrintStream;","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","232","3","239","4","0","0","0","0","0","0","0","0","45.0196","6","525.415","65.1131","23","14","29.1897","87.5692","113.826","66.5652","132.194","77.3064","1","0","0","0","5","0.466667","7","7","0.466667","7","8","8","6","0","8","8","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L212","void setFromHeader()","com.oreilly.servlet.MailMessage.setFromHeader()V","L121","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.1\jakarta-ant-1.1\src\main\com\oreilly\servlet\MailMessage.java","241","3","243","4","0","0","0","0","0","0","0","0","12.7549","2","39.303","11.5598","7","7","2.1835","19.6515","137.486","80.4012","122.751","71.7845","1","0","0","1","1","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
