"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L151","AntClassLoader","org.apache.tools.ant.AntClassLoader","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\AntClassLoader.java","70","1","448","2","0.221289","2","8","4","0.105541","0.197802","40","36","1","5","5","41","2","5","6","3","16","1","0.467836","160","150","9","0","0.467836","160","0","0","0","0","0","182","379","6","4","6","4","13","0","8","0","13","107","0","8","0","182","379","6","4","6","4","13","0","8","0","13","107","0","8","0","0","3","28","7","11","1","0","11","21","0","0","2","0","0","4","0","4","0","0","5","0","0","0","0","0","0","1","0","0","0","1","0"
"L352","BuildEvent","org.apache.tools.ant.BuildEvent","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\BuildEvent.java","59","1","166","2","0","0","0","0","0","0","0","0","0","0","0","11","3","5","18","3","14","0.75","0.463158","44","44","9","3","0.463158","44","0","0","0","0","0","51","108","6","6","6","6","11","0","11","2","11","21","0","11","2","51","108","6","6","6","6","11","0","11","2","11","21","0","11","2","0","0","7","0","3","0","0","0","0","0","0","0","0","0","3","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L413","BuildException","org.apache.tools.ant.BuildException","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\BuildException.java","63","1","174","2","0","0","0","0","0","0","0","0","1","0","0","11","1","121","191","1","12","1","0.56701","55","55","12","0","0.56701","55","0","0","0","0","0","42","112","2","2","2","2","11","0","11","1","11","16","0","11","1","42","112","2","2","2","2","11","0","11","1","11","16","0","11","1","0","0","0","0","1","6","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L522","DefaultLogger","org.apache.tools.ant.DefaultLogger","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DefaultLogger.java","64","1","206","2","0","0","0","0","0","0","0","0","4","4","4","25","6","3","4","8","20","0.5","0.302521","36","33","6","6","0.302521","36","2","2","0","0","1","83","143","7","0","7","0","12","0","11","4","12","35","0","11","4","83","143","7","0","7","0","12","0","11","4","12","35","0","11","4","0","0","21","0","15","0","0","11","0","0","1","2","0","0","0","0","17","3","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"L609","DesirableFilter","org.apache.tools.ant.DesirableFilter","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DesirableFilter.java","68","1","111","2","0","0","0","0","0","0","0","0","1","1","1","8","0","0","0","0","1","1","0.512195","21","10","2","0","0.512195","21","0","0","0","0","0","20","44","0","0","0","0","1","0","1","0","1","11","0","1","0","20","44","0","0","0","0","1","0","1","0","1","11","0","1","0","0","2","0","0","1","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L623","DirectoryScanner","org.apache.tools.ant.DirectoryScanner","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\DirectoryScanner.java","136","1","959","2","0.543181","9","91","15","0.348301","0.525424","287","248","1","5","5","136","2","27","27","1","23","1","0.411471","330","283","15","0","0.411471","330","1","1","1","1","1","472","824","11","7","11","7","22","0","14","4","22","353","0","14","4","472","824","11","7","11","7","22","0","14","4","22","353","0","14","4","0","7","78","8","28","5","0","35","54","1","0","8","0","0","1","0","8","1","0","4","0","0","0","0","0","0","1","0","0","0","8","0"
"L806","IntrospectionHelper","org.apache.tools.ant.IntrospectionHelper","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\IntrospectionHelper.java","71","1","521","2","0.118207","2","16","5","0.110865","0.146417","50","47","1","14","3","71","8","5","11","4","16","1","0.251634","77","63","10","0","0.193467","77","0","0","0","0","0","229","343","7","6","7","6","12","0","9","1","12","116","0","9","1","321","451","7","6","7","6","30","0","27","1","30","142","0","27","1","0","2","144","9","58","3","0","20","29","29","0","5","0","0","13","0","105","0","0","4","0","1","0","0","1","0","2","0","0","0","4","0"
"L422","Location","org.apache.tools.ant.Location","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\Location.java","60","1","111","2","0","0","0","0","0","0","0","0","1","2","2","6","0","7","4","0","4","1","0.369565","17","17","4","0","0.369565","17","0","0","0","0","0","29","52","4","0","4","0","4","1","3","0","4","13","1","3","0","29","52","4","0","4","0","4","1","3","0","4","13","1","3","0","0","0","4","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0"
"L1159","Main","org.apache.tools.ant.Main","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\Main.java","73","1","607","2","0","0","0","0","0","0","0","0","1","14","3","80","7","0","0","18","32","1","0.267081","129","92","2","0","0.267081","129","0","0","0","0","0","354","535","12","2","12","2","14","1","1","0","14","246","1","1","0","354","535","12","2","12","2","14","1","1","0","14","246","1","1","0","0","20","29","37","57","2","0","53","0","5","0","4","0","1","14","0","16","0","0","5","0","0","0","0","0","0","37","0","0","0","8","0"
"L1350","PathTokenizer","org.apache.tools.ant.PathTokenizer","L107","L103","C:\Users\tiaru\Desktop\SourceMeter-10.0.0-x64-Windows\Java\Apache1.2\jakarta-ant-1.2\src\main\org\apache\tools\ant\PathTokenizer.java","69","1","128","2","0","0","0","0","0","0","0","0","1","2","2","11","0","2","2","0","3","0.25","0.403226","25","20","1","3","0.403226","25","0","0","0","0","0","37","60","3","0","3","0","3","0","3","0","3","16","0","3","0","37","60","3","0","3","0","3","0","3","0","3","16","0","3","0","0","0","7","0","5","0","0","1","0","0","0","0","0","0","3","0","7","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
