"ID","Name","Component","CA","CCO","CE","CEE","CEG","CI","CLLOC","CR","CV","NCR","Clone Metric Rules"
"C106","0~CloneClass","L103","1","6","13","8.125","4.61538","2","10","37.5","1","0.3125","1"
"C108","3~CloneClass","L103","1","4","75","9.375","0.586667","2","11","5.5","1","0.0625","0"
"C160","6~CloneClass","L103","1","2","131","16.375","0.183206","2","12","3","1","0.0625","1"
"C169","9~CloneClass","L103","1","6","89","22.25","1.04494","2","15.5","23.25","1","0.125","0"
"C175","12~CloneClass","L103","1","4","57","7.125","0.842105","2","12","6","1","0.0625","0"
"C180","15~CloneClass","L103","1","9","130","48.75","0.992308","3","14.3333","48.375","1","0.125","2"
"C186","19~CloneClass","L103","1","12","7","1.3125","17.1429","3","10","22.5","1","0.0625","2"
"C188","23~CloneClass","L103","1","12","34","8.5","6.35294","2","18","54","1","0.125","1"
"C193","26~CloneClass","L103","1","12","75","37.5","3.2","2","20","120","1","0.25","2"
"C194","29~CloneClass","L103","1","4","107","26.75","0.448598","2","12","12","1","0.125","1"
"C199","32~CloneClass","L103","1","8","61","15.25","2.7541","2","21","42","1","0.125","0"
"C200","35~CloneClass","L103","1","9","88","33","1.46591","3","14.3333","48.375","1","0.125","1"
"C201","39~CloneClass","L103","1","12","59","7.375","5.08475","2","25","37.5","1","0.0625","1"
"C202","42~CloneClass","L103","1","9","88","27.5","1.43182","3","14","39.375","1","0.104167","1"
"C220","46~CloneClass","L103","1","6","37","25.4375","1.67568","3","10.3333","42.625","1","0.229167","2"
"C267","50~CloneClass","L103","1","4","21","10.5","2.19048","2","11.5","23","1","0.25","1"
"C272","53~CloneClass","L103","1","12","148","27.75","1.7027","3","21","47.25","1","0.0625","3"
"C273","57~CloneClass","L103","1","12","181","45.25","0.928177","4","14","42","1","0.0625","3"
"C290","62~CloneClass","L103","1","4","49","6.125","1.06122","2","13","6.5","1","0.0625","0"
"C296","65~CloneClass","L103","1","12","44","11","8.45455","2","31","93","1","0.125","1"
"C297","68~CloneClass","L103","1","9","29","9.0625","4.03448","3","13","36.5625","1","0.104167","1"
"C310","72~CloneClass","L103","1","12","49","15.3125","2.44898","3","10","37.5","1","0.104167","2"
"C315","76~CloneClass","L103","1","12","42","10.5","8.28571","2","29","87","1","0.125","1"
"C316","79~CloneClass","L103","1","10","34","8.5","6.76471","2","23","57.5","1","0.125","0"
"C317","82~CloneClass","L103","1","12","38","11.875","5.36842","3","17","63.75","1","0.104167","2"
"C318","86~CloneClass","L103","1","18","50","30","3.96","6","11","118.8","1","0.1","2"
"C329","93~CloneClass","L103","1","8","87","10.875","1.37931","2","15","15","1","0.0625","0"
"C330","96~CloneClass","L103","1","9","124","23.25","0.725806","3","10","16.875","1","0.0625","2"
"C332","100~CloneClass","L103","1","10","103","12.875","2.62136","2","27","33.75","1","0.0625","1"
"C333","103~CloneClass","L103","1","12","142","26.625","1.69014","3","20","45","1","0.0625","3"
"C334","107~CloneClass","L103","1","15","216","67.5","0.902778","5","13","60.9375","1","0.0625","3"
"C337","113~CloneClass","L103","1","6","91","22.75","1.12088","2","17","25.5","1","0.125","0"
"C340","116~CloneClass","L103","1","12","61","7.625","5.11475","2","26","39","1","0.0625","1"
"C341","119~CloneClass","L103","1","10","57","7.125","3.50877","2","20","25","1","0.0625","0"
"C342","122~CloneClass","L103","1","12","82","15.375","2.19512","3","15","33.75","1","0.0625","2"
"C343","126~CloneClass","L103","1","15","131","40.9375","1.14504","5","10","46.875","1","0.0625","3"
"C345","132~CloneClass","L103","1","12","28","5.25","4.71429","3","11","24.75","1","0.0625","2"
"C352","136~CloneClass","L103","1","12","9","1.125","36","2","27","40.5","1","0.0625","1"
"C356","139~CloneClass","L103","1","4","41","5.125","0.97561","2","10","5","1","0.0625","0"
"C358","142~CloneClass","L103","1","8","17","4.25","7.52941","2","16","32","1","0.125","0"
"C359","145~CloneClass","L103","1","12","25","7.8125","6.88","3","14.3333","53.75","1","0.104167","2"
"C361","149~CloneClass","L103","1","4","47","5.875","0.978723","2","11.5","5.75","1","0.0625","0"
"C363","152~CloneClass","L103","1","4","27","3.375","1.48148","2","10","5","1","0.0625","0"
"C379","155~CloneClass","L103","1","8","11","1.375","8","2","11","11","1","0.0625","0"
"C382","158~CloneClass","L103","1","6","23","5.75","2.6087","2","10","15","1","0.125","0"
"C394","161~CloneClass","L103","1","10","9","2.25","13.3333","2","12","30","1","0.125","0"
"C409","164~CloneClass","L103","1","8","28","7","3.42857","2","12","24","1","0.125","0"
"C434","167~CloneClass","L103","1","6","41","10.25","2.63415","2","18","27","1","0.125","0"
"C437","170~CloneClass","L103","1","6","56","28","1.60714","2","15","45","1","0.25","1"
"C438","173~CloneClass","L103","1","6","45","5.625","1.33333","2","10","7.5","1","0.0625","0"
"C441","176~CloneClass","L103","1","8","77","38.5","1.45455","2","14","56","1","0.25","1"
"C448","179~CloneClass","L103","1","8","47","5.875","2.55319","2","15","15","1","0.0625","0"
"C449","182~CloneClass","L103","1","9","52","9.75","1.73077","3","10","16.875","1","0.0625","1"
"C452","186~CloneClass","L103","1","8","38","19","2.31579","2","11","44","1","0.25","1"
"C456","189~CloneClass","L103","1","24","45","41.25","10.4","4","19.5","429","1","0.229167","3"
"C461","194~CloneClass","L103","1","10","55","13.75","3.36364","2","18.5","46.25","1","0.125","0"
"C462","197~CloneClass","L103","1","4","46","5.75","1.65217","2","19","9.5","1","0.0625","0"
"C464","200~CloneClass","L103","1","8","25","6.25","3.52","2","11","22","1","0.125","0"
"C469","203~CloneClass","L103","1","4","107","26.75","0.411215","2","11","11","1","0.125","1"
"C470","206~CloneClass","L103","1","10","150","37.5","3.53333","2","53","132.5","1","0.125","2"
"C472","209~CloneClass","L103","1","6","21","2.625","3.14286","2","11","8.25","1","0.0625","0"
"C473","212~CloneClass","L103","1","8","9","1.125","13.3333","2","15","15","1","0.0625","0"
"C475","215~CloneClass","L103","1","6","7","1.75","9.42857","2","11","16.5","1","0.125","0"
"C483","218~CloneClass","L103","1","6","51","6.375","1.29412","2","11","8.25","1","0.0625","0"
"C497","221~CloneClass","L103","1","8","79","9.875","1.11392","2","11","11","1","0.0625","0"
"C501","224~CloneClass","L103","1","9","13","2.4375","7.61538","3","11","18.5625","1","0.0625","1"
"C506","228~CloneClass","L103","1","14","59","7.375","8.0678","2","34","59.5","1","0.0625","2"
"C507","231~CloneClass","L103","1","56","7","4.375","1096","2","137","4795","1","0.3125","3"
"C510","234~CloneClass","L103","1","6","35","21.875","3.94286","2","23","86.25","1","0.3125","1"
"C513","237~CloneClass","L103","1","4","27","6.75","1.62963","2","11","11","1","0.125","0"
"C520","240~CloneClass","L103","1","4","15","1.875","2.66667","2","10","5","1","0.0625","0"
